,A,B
0,0.8265011808554009,0.6538182224456734
1,0.8826850913320232,0.6186002813453794
2,0.9355831433018608,0.6167984520925698
3,0.855645891812702,0.6494243592282808
4,0.8579699860412013,0.6081701885623454
5,0.8313384688428024,0.6306575051673091
6,0.8804108136464794,0.642210948093301
7,0.891145770321337,0.6499829872378892
8,0.8186657503133867,0.652986374555002
9,0.8430453564373649,0.5743549116098136
10,0.8485882093392801,0.6800605349624957
11,0.8654272175224098,0.6405076405076405
12,0.9051615021822695,0.7137112705740156
13,0.8460262157015643,0.6486859545683075
14,0.8476294950534207,0.6477423810757144
15,0.791761767124945,0.5804571608493178
16,0.8585616845718167,0.6829298515573026
17,0.8395632817511837,0.6489165155831822
18,0.8900599730177337,0.6321901772882165
19,0.8938765302066166,0.6494172494172494
20,0.8331379643740552,0.6433840669134787
21,0.8318468009137777,0.6431961647647922
22,0.8533106142786412,0.6612459435988848
23,0.8310609195320499,0.6887080965512338
24,0.8908031545054996,0.6103691515456221
25,0.8550399599840993,0.6337147239108023
26,0.8649585353529705,0.6289481034579074
27,0.7671849281574284,0.667704699077248
28,0.8567764223385512,0.6510342235832431
29,0.8962280743669486,0.6231160270375956
30,0.8180943850656104,0.6816511012589443
31,0.8916988356145582,0.5841512155237646
32,0.8614317274445435,0.665349320251281
33,0.8413485439844491,0.6329458486321231
34,0.9111933705364632,0.7182991300638359
35,0.8437692213064337,0.6545312349233918
36,0.895395426434691,0.6068111989680617
37,0.8421161254116218,0.6802687508569861
38,0.7919589999684834,0.5988949322282655
39,0.8461929486208443,0.6341474066964263
40,0.8528856486673058,0.665451904667591
41,0.9288985765685348,0.585802723057625
42,0.8901250395228185,0.596439000360569
43,0.8107764365718492,0.6354901452940669
44,0.9088387763837054,0.6053831426380446
45,0.7832482216002497,0.6728105590850689
46,0.8283820095180097,0.6145385478718812
47,0.8460831488935135,0.6484015621270524
48,0.8542825451983461,0.6538690068101832
49,0.8472136794193628,0.6316610042100238
50,0.7762657722733322,0.6451340961144882
51,0.8393568989303677,0.618237680982779
52,0.8267604302115983,0.6942344510971962
53,0.954184030442991,0.6910655067517812
54,0.8482974433946823,0.6672070123050515
55,0.8002458293895237,0.6534860927017789
56,0.8145807937910288,0.6268202385849445
57,0.9009108294047736,0.5748810376261356
58,0.8794886992697302,0.6713906282533734
59,0.810242687897325,0.6423368933172855
60,0.8365895391359778,0.6225411480313441
61,0.8499159727086678,0.6495462417031045
62,0.924047055283146,0.6379958458389831
63,0.8214534433906155,0.6203990635363185
64,0.8375441867652695,0.6620777914895561
65,0.8318803508304621,0.6283640832660441
66,0.841392260542553,0.6502389404350188
67,0.8609416953281233,0.651770596868636
68,0.842856256906962,0.6330352291136605
69,0.8731619983143708,0.7254861333292706
70,0.8498976727541127,0.5733696949383223
71,0.849624190099928,0.6708218433708629
72,0.857274587768107,0.6428000467216154
73,0.8955957092706553,0.7081788219043121
74,0.827097962706726,0.6510626628273687
75,0.9291405426343191,0.5957198937591095
76,0.7193193636902468,0.7043293670744651
77,0.8605411296561947,0.6693795674187831
78,0.8797357486562242,0.7009593166455912
79,0.8568821554093141,0.6574259437004535
80,0.8703671885881483,0.6111034934564347
81,0.8365265059591769,0.6266668698041247
82,0.8370846545731078,0.6306097678646698
83,0.8313232188806731,0.6273676940343607
84,0.8360720570877249,0.658866188277953
85,0.8697317734994291,0.7228676914951425
86,0.831697351284911,0.685704709234121
87,0.8578835695891355,0.6970489205783323
88,0.8483004933871081,0.6476276084119221
89,0.8157377575845687,0.6358466515329261
90,0.7873870613221311,0.7055613957574742
91,0.8184908840809711,0.5687767570120511
92,0.8426244574825973,0.6324237853649618
93,0.8551040098250423,0.6519828755122873
94,0.7491472729509389,0.6010867854005109
95,0.8260589319536523,0.6691439279674574
96,0.8612131446540241,0.619830278653808
97,0.8948027112399337,0.6813575676320774
98,0.8860898995434161,0.6735266186246578
99,0.8490955247461135,0.6580140266414776
100,0.8144628607505625,0.6416381004616298
101,0.8502382552416662,0.6513968239458435
102,0.879986864699286,0.6101761709604847
103,0.8704515717119302,0.6812539675284773
104,0.9464187497267715,0.6859748820533135
105,0.8008100779883063,0.6216239824082961
106,0.8938612802444874,0.6824453687198785
107,0.9557456265650274,0.6792205615735027
108,0.8264981308629751,0.6294112568622372
109,0.7956891407053006,0.6456825672511947
110,0.8480463273516204,0.6444901503725033
111,0.8390874829327507,0.6362255028921696
112,0.8416759098381572,0.6682653584614369
113,0.8199111638872764,0.6356353885765651
114,0.8266923137140876,0.6448598605461351
